post,normalized claim
"O god if you are there, where r u? How can such an atrocity happen in your world. Shame on whole world; shame on whole humanity; shame on ourselves.",ਅਫਗਾਨੀ ਮਹਿਲਾ ਪਾਇਲਟ ਸਾਫਿਆ ਫਿਰੌਜ਼ੀ ਦੀ ਤਾਲਿਬਾਨ ਨੇ ਕੀਤੀ ਹੱਤਿਆ
"ਗੂਗਲ ਦੇ CEO ਭਾਰਤੀ ਹਨ, ਨੋਕੀਆ ਦੇ CEO ਭਾਰਤੀ ਹਨ, Adobe ਦੇ CEO ਭਾਰਤੀ ਹਨ, Amazon’ ਦੇ BOD ਭਾਰਤੀ ਹਨ, ਮਾਸਟਰਕਾਰਡ ਦੇ CEO ਭਾਰਤੀ ਹਨ, ਪੇਪਸੀਕੋ ਦੀ CEO ਇੰਦਰਾ ਨੂਈ ਭਾਰਤੀ ਹਨ, ਨਾਸਾ ਦੇ 58 ਫੀਸਦੀ ਕਰਮਚਾਰੀ ਭਾਰਤੀ ਹਨ।","ਗੂਗਲ ਦੇ CEO ਭਾਰਤੀ ਹਨ, ਨੋਕੀਆ ਦੇ CEO ਭਾਰਤੀ ਹਨ, Adobe ਦੇ CEO ਭਾਰਤੀ ਹਨ, Amazon’ ਦੇ BOD ਭਾਰਤੀ ਹਨ, ਮਾਸਟਰਕਾਰਡ ਦੇ CEO ਭਾਰਤੀ ਹਨ, ਪੇਪਸੀਕੋ ਦੀ CEO ਇੰਦਰਾ ਨੂਈ ਭਾਰਤੀ ਹਨ, ਨਾਸਾ ਦੇ 58 ਫੀਸਦੀ ਕਰਮਚਾਰੀ ਭਾਰਤੀ ਹਨ।"
कांग्रेस का एक और घोटाला पप्पू से मिलने वाले मजदूर भी नकली निकले मैंने कहा था ना कि भक्त खोद कर तुम्हारी.. सच ढूंढ लेगें ग्रीन जोन से सेनिटाइज करके लेकर आये थे मजदूरों को भी,"ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਇਹ ਓਹੀ ਮਜਦੂਰ ਹਨ, ਜਿਨ੍ਹਾਂ ਨਾਲ ਰਾਹੁਲ ਗਾਂਧੀ ਨੇ ਮੁਲਾਕਾਤ ਕੀਤੀ ਸੀ ਅਤੇ ਇਹ ਮੁਲਾਕਾਤ ਪਹਿਲਾਂ ਤੋਂ ਹੀ ਤਿਆਰ ਸੀ ਕਿਓਂਕਿ ਇਨ੍ਹਾਂ ਮਜਦੂਰਾਂ ਨੂੰ ਗੱਡੀ ਵਿਚ ਬੈਠਾ ਕੇ ਲਾਇਆ ਗਿਆ ਸੀ"
"ਪਹਿਲਾਂ ਇਸ ਦੇਸ਼ ਤੋਂ ਮੁਸਲਮਾਨਾਂ ਨੂੰ ਖਤਮ ਕਰਨਾ ਹੈ ਫੇਰ ਦਲਿਤਾਂ (SC ST OBC) ਦਾ ਆਰਕਸ਼ਣ ਖਤਮ ਕਰਨਾ ਹੈ, ਸਰ ‘ਤੇ ਬੈਠੇ ਹੋਏ ਨੇ ਸੰਵਿਧਾਨ ਕਰਕੇ। – RSS chief (ਮੋਹਨ ਭਾਗਵਤ)",ਦਾਅਵਾ ਕੀਤਾ ਗਿਆ ਹੈ ਕਿ ਸੰਘ ਪ੍ਰਮੁੱਖ ਨੇ ਮੁਸਲਮਾਨਾਂ ਅਤੇ ਦਲਿਤਾਂ ਦੇ ਖਿਲਾਫ ਬਿਆਨ ਦਿੱਤਾ ਹੈ। ਇਸ ਕਥਿਤ ਬਿਆਨ ਵਿਚ ਦਾਅਵਾ ਕੀਤਾ ਗਿਆ ਕਿ ਉਨ੍ਹਾਂ ਨੇ ਦੇਸ਼ ਤੋਂ ਮੁਸਲਮਾਨਾਂ ਨੂੰ ਖਤਮ ਅਤੇ ਦਲਿਤਾਂ ਦਾ ਆਰਕਸ਼ਣ ਖਤਮ ਕਰਨ ਦੀ ਗੱਲ ਕਹੀ ਹੈ।
ਰਾਹੁਲ ਗਾਂਧੀ ਦਾ ਕਲ ਅਮੇਠੀ ਵਿਚ ਜ਼ੋਰਦਾਰ ਸਵਾਗਤ ਹੋਇਆ। ਕੁਝ ਜਿਆਦਾ ਹੀ ਸੇਵਾ ਹੋ ਗਈ।,ਅਮੇਠੀ ਵਿਚ ਰਾਹੁਲ ਗਾਂਧੀ ਦੀ ਪਿਟਾਈ
ਝਾੜੂ ਸਰਕਾਰ ਬਾਰੇ ਮੁੱਖ ਮੰਤਰੀ ਸਾਹਿਬ ਦਾ ਬਿਆਨ ਧਿਆਨ ਨਾਲ ਸੁਣੋ ਤੇ ਸਮਝੋ ਕੀ ਚੱਲ ਰਿਹਾ ਪੰਜਾਬ ਚ,ਆਪਣੀ ਪਾਰਟੀ ਦੇ ਕੰਮ ਬਾਰੇ ਦੱਸਦੇ ਹੋਏ ਮੁਖ ਮੰਤਰੀ ਭਗਵੰਤ ਮਾਨ
’ਸ਼੍ਰੀ ਲੰਕਾ ਵਿਚ ਮੁਸਲਮਾਨ ਆਪਣੇ ਹੀ ਹੱਥਾਂ ਨਾਲ ਮਸਜਿਦ ਤੋੜ ਰਹੇ ਹਨ ਅਤੇ ਹਿੰਦੂ ਧਰਮ ਅਪਣਾ ਰਹੇ ਹਨ। 👇 ਮੁਸਲਿਮ ਕਹਿੰਦੇ ਹਨ ਕਿ ਸਾਨੂੰ ਹੁਣ ਇਸਲਾਮ ਧਰਮ ਦੀ ਗੰਦੀ ਅਤੇ ਨਫਰਤ ਭਰੀ ਅਸਲੀਅਤ ਸੱਮਝ ਆ ਗਈ ਹੈ।’,ਸ਼੍ਰੀਲੰਕਾ ਵਿਚ ਮਸਜਿਦ ਤੋੜ ਕੇ ਮੁਸਲਮਾਨਾਂ ਦੇ ਹਿੰਦੂ ਧਰਮ ਅਪਨਾਉਣ ਦਾ ਦਾਅਵਾ
"This is the Afghan president fleeing his country. Do you notice that there are no multitudes of Afghans in the plane with him? They’ve been left behind to face their fate. America only evacuated their embassy staff. No Afghans. This is instructive, especially…","This is the Afghan president fleeing his country. Do you notice that there are no multitudes of Afghans in the plane with him? They've been left behind to face their fate. America only evacuated their embassy staff. No Afghans. This is instructive, especially..."
#हरियाणा #किसान बिल के रुझान आने लगे। पहला भूमि सूजन #भाजपा नेता #सत्यम सिंह का “,ਇੱਕ ਵੀਡੀਓ ਨੂੰ ਵਾਇਰਲ ਕਰਦੇ ਹੋਏ ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਹਰਿਆਣਾ ਦੇ ਕਿਸਾਨਾਂ ਨੇ ਭਾਜਪਾ ਨੇਤਾ ਨਾਲ ਕੁੱਟਮਾਰ ਕੀਤੀ।
"ਸੈਂਟ੍ਰਲ ਰਿਜ਼ਰਵ ਬੈਂਕ ਆਫ ਇੰਡੀਆ 1 ਜਨਵਰੀ 2020 ਤੋਂ 1000 ਰੁਪਏ ਦੇ ਨਵੇਂ ਨੋਟਾਂ ਨੂੰ ਜਾਰੀ ਕਰਨ ਜਾ ਰਿਹਾ ਹੈ। ਰਿਜ਼ਰਵ ਬੈਂਕ 2000 ਰੁਪਏ ਦੇ ਸਾਰੇ ਨੋਟਾਂ ਨੂੰ ਵਾਪਸ ਲੈ ਰਿਹਾ ਹੈ। ਇਸਦੇ ਬਦਲੇ ਵਿਚ ਸਿਰਫ ਤੁਸੀਂ 50,000 ਰੁਪਏ ਦੇ ਨੋਟਾਂ ਦੀ ਅਦਲਾ-ਬਦਲੀ ਹੀ ਕਰ ਸਕੋਗੇ।",1 ਜਨਵਰੀ 2020 ਤੋਂ 1000 ਰੁਪਏ ਦੇ ਨਵੇਂ ਨੋਟਾਂ ਨੂੰ ਜਾਰੀ ਕਰਨ ਜਾ ਰਿਹਾ ਹੈ। ਰਿਜ਼ਰਵ ਬੈਂਕ 2000 ਰੁਪਏ ਦੇ ਸਾਰੇ ਨੋਟਾਂ ਨੂੰ ਵਾਪਸ ਲੈ ਰਿਹਾ ਹੈ
