post,normalized claim
"Um homem de 50 anos está a jogar basketball na liga de adolescentes feminina, porque se identifica como uma jovem adolescente.

A que ponto isto chegou!!! 
É bizarro! É doentio...🤢
(É isso que dá viver na fantasia, no auto-engano e fora da realidade...)

Parabéns aos que apoiaram a ideologi@ de gênero e quando nós alertavamos que ia chegar a este ponto, ainda nos chamavam conspiracionistas e homo-fóbicos!!

https://www.theguardian.com/sport/2021/jan/22/transgender-athletes-joe-biden-executive-order Um homem de 50 anos está a jogar basketball na liga de adolescentes feminina, porque se identifica como uma jovem adolescente.

A que ponto isto chegou!!! 
É bizarro! É doentio...🤢
(É isso que dá viver na fantasia, no auto-engano e fora da realidade...)

Parabéns aos que apoiaram a ideologi@ de gênero e quando nós alertavamos que ia chegar a este ponto, ainda nos chamavam conspiracionistas e homo-fóbicos!!

https://www.theguardian.com/sport/2021/jan/22/transgender-athletes-joe-biden-executive-order Um homem de 50 anos está a jogar basketball na liga de adolescentes feminina, porque se identifica como uma jovem adolescente.

A que ponto isto chegou!!! 
É bizarro! É doentio...🤢
(É isso que dá viver na fantasia, no auto-engano e fora da realidade...)

Parabéns aos que apoiaram a ideologi@ de gênero e quando nós alertavamos que ia chegar a este ponto, ainda nos chamavam conspiracionistas e homo-fóbicos!!

https://www.theguardian.com/sport/2021/jan/22/transgender-athletes-joe-biden-executive-order None",Homem de 50 anos se identifica como jovem e joga em liga feminina adolescente de basquete
"Sem saber que estava sendo filmado, Klaus Schwab, presidente do Fórum Econômico Mundial, diz  “Temos todos eles em nossos bolsos, políticos, mídia e, acima de tudo, os especialistas e cientistas”. https://t.co/K5wAFUjnBQ Sem saber que estava sendo filmado, Klaus Schwab, presidente do Fórum Econômico Mundial, diz  “Temos todos eles em nossos bolsos, políticos, mídia e, acima de tudo, os especialistas e cientistas”. https://t.co/K5wAFUjnBQ Sem saber que estava sendo filmado, Klaus Schwab, presidente do Fórum Econômico Mundial, diz  “Temos todos eles em nossos bolsos, políticos, mídia e, acima de tudo, os especialistas e cientistas”. https://t.co/K5wAFUjnBQ None","Sem saber que estava sendo filmado, o presidente do Fórum Econômico Mundial, Klaus Schwab, disse ter políticos, mídia, especialistas e cientistas ""no bolso"""
"Carrefour fechou hoje em Porto Alegre, demitidos 783 pessoas. Agradeçam a Manuela D'Ávila.
Agenda da comunistas aplicada com sucesso! Carrefour fechou hoje em Porto Alegre, demitidos 783 pessoas. Agradeçam a Manuela D'Ávila.
Agenda da comunistas aplicada com sucesso! Carrefour fechou hoje em Porto Alegre, demitidos 783 pessoas. Agradeçam a Manuela D'Ávila.
Agenda da comunistas aplicada com sucesso! None",Manuela D Ávila liderou protestos que levaram ao fechamento de Carrefour e demissão de funcionários
"Já viram? 2 policiais algemam 1 negro daí ele ""vocês tão me prendendo assumindo que sou algo que não sou"". Já viram? 2 policiais algemam 1 negro daí ele ""vocês tão me prendendo assumindo que sou algo que não sou"". Já viram? 2 policiais algemam 1 negro daí ele ""vocês tão me prendendo assumindo que sou algo que não sou"". None",Policiais prendem homem negro e descobrem que ele é agente do FBI George Floyd
"Deputada federal do PSOL Talíria Petroni eleita pelos cariocas e fluminenses, afirmou em sessão na Câmara dos deputados que ""OS POLICIAIS NÃO FAZEM MAIS QUE OBRIGAÇÃO MORRER EM COMBATE CONTRA O CRIME ORGANIZADO, POIS ELES SÃO PAGOS PARA ISSO, MORRER""
Este é o nível das pessoas que os cariocas tem dado poder nas últimas décadas.
É esse povo que quer vir como candidato a prefeito nas eleições. 
nojo🤮🤮 Deputada federal do PSOL Talíria Petroni eleita pelos cariocas e fluminenses, afirmou em sessão na Câmara dos deputados que ""OS POLICIAIS NÃO FAZEM MAIS QUE OBRIGAÇÃO MORRER EM COMBATE CONTRA O CRIME ORGANIZADO, POIS ELES SÃO PAGOS PARA ISSO, MORRER""
Este é o nível das pessoas que os cariocas tem dado poder nas últimas décadas.
É esse povo que quer vir como candidato a prefeito nas eleições. 
nojo🤮🤮 Deputada federal do PSOL Talíria Petroni eleita pelos cariocas e fluminenses, afirmou em sessão na Câmara dos deputados que ""OS POLICIAIS NÃO FAZEM MAIS QUE OBRIGAÇÃO MORRER EM COMBATE CONTRA O CRIME ORGANIZADO, POIS ELES SÃO PAGOS PARA ISSO, MORRER""
Este é o nível das pessoas que os cariocas tem dado poder nas últimas décadas.
É esse povo que quer vir como candidato a prefeito nas eleições. 
nojo🤮🤮 None",A deputada Talíria Petrone disse na Câmara dos Deputados que policiais são pagos para morrer
Pegando água no canal que foi inaugurado pelo presidente e jogando fora. Sempre tem aqueles espíritos de porco. Pegando água no canal que foi inaugurado pelo presidente e jogando fora. Sempre tem aqueles espíritos de porco. Pegando água no canal que foi inaugurado pelo presidente e jogando fora. Sempre tem aqueles espíritos de porco. None,Vídeo mostra caminhões-pipa descartando água do canal do Rio São Francisco
"👆🏻👆🏻*TÁ DANDO MERDA*  
A  GLOBO  NÃO  DIVULGOU, *NAO SAIU NO G1, NO O meu DIA, NA FOLHA DE SAO PAULO* (Estão tentando impedir a divulgação)   ISSO FOI HJ PELA MANHA NO STF  *O STF JOGOU A POLÍCIA CONTRA O POVO*   Mas o povo começou a se concentrar em frente ao STF!!! Querem expulsar os ministros na marra!  Uma TV apresentou esse vídeo hj pela manhã. Logo em seguida, o STF e Senado ligaram para a TV intimando sob ameaça que retirassem dos demais telejornais. Inclusive, já foi retirado do YouTube.  Repasse *pro bem da NAÇÃO !!!* 👆🏻👆🏻*TÁ DANDO MERDA*  
A  GLOBO  NÃO  DIVULGOU, *NAO SAIU NO G1, NO O meu DIA, NA FOLHA DE SAO PAULO* (Estão tentando impedir a divulgação)   ISSO FOI HJ PELA MANHA NO STF  *O STF JOGOU A POLÍCIA CONTRA O POVO*   Mas o povo começou a se concentrar em frente ao STF!!! Querem expulsar os ministros na marra!  Uma TV apresentou esse vídeo hj pela manhã. Logo em seguida, o STF e Senado ligaram para a TV intimando sob ameaça que retirassem dos demais telejornais. Inclusive, já foi retirado do YouTube.  Repasse *pro bem da NAÇÃO !!!* 👆🏻👆🏻*TÁ DANDO MERDA*  
A  GLOBO  NÃO  DIVULGOU, *NAO SAIU NO G1, NO O meu DIA, NA FOLHA DE SAO PAULO* (Estão tentando impedir a divulgação)   ISSO FOI HJ PELA MANHA NO STF  *O STF JOGOU A POLÍCIA CONTRA O POVO*   Mas o povo começou a se concentrar em frente ao STF!!! Querem expulsar os ministros na marra!  Uma TV apresentou esse vídeo hj pela manhã. Logo em seguida, o STF e Senado ligaram para a TV intimando sob ameaça que retirassem dos demais telejornais. Inclusive, já foi retirado do YouTube.  Repasse *pro bem da NAÇÃO !!!* None",Manifestantes se reuniram no dia 15 de outubro pra protestar contra o STF e foram recebidos pela polícia
"Cerca de 75 anos atrás, Hermann Göring, militar alemão levado ao tribunal de Nuremberg, foi questionado: ""Como você fez o povo alemão aceitar tudo isso?""

Respondeu: ""Foi fácil. Não tem nada a ver com o nazismo, tem a ver com a natureza humana. Você pode fazer isso em um regime nazista, socialista, comunista, em uma monarquia e até mesmo em uma democracia. Tudo o que você precisa fazer para escravizar as pessoas é assustá-las e dizer-lhes que é para o bem delas. Se você consegue imaginar uma maneira de assustar as pessoas e convencê-las que é para o seu próprio bem, pode obrigá-las a fazer o que você quiser."" Cerca de 75 anos atrás, Hermann Göring, militar alemão levado ao tribunal de Nuremberg, foi questionado: ""Como você fez o povo alemão aceitar tudo isso?""

Respondeu: ""Foi fácil. Não tem nada a ver com o nazismo, tem a ver com a natureza humana. Você pode fazer isso em um regime nazista, socialista, comunista, em uma monarquia e até mesmo em uma democracia. Tudo o que você precisa fazer para escravizar as pessoas é assustá-las e dizer-lhes que é para o bem delas. Se você consegue imaginar uma maneira de assustar as pessoas e convencê-las que é para o seu próprio bem, pode obrigá-las a fazer o que você quiser."" Cerca de 75 anos atrás, Hermann Göring, militar alemão levado ao tribunal de Nuremberg, foi questionado: ""Como você fez o povo alemão aceitar tudo isso?""

Respondeu: ""Foi fácil. Não tem nada a ver com o nazismo, tem a ver com a natureza humana. Você pode fazer isso em um regime nazista, socialista, comunista, em uma monarquia e até mesmo em uma democracia. Tudo o que você precisa fazer para escravizar as pessoas é assustá-las e dizer-lhes que é para o bem delas. Se você consegue imaginar uma maneira de assustar as pessoas e convencê-las que é para o seu próprio bem, pode obrigá-las a fazer o que você quiser."" None",O líder nazista Hermann Goering disse no tribunal de Nuremberg que para escravizar as pessoas é preciso assustá-las
"Enquanto os parasitas atacam o Presidente JB, o governo federal segue trabalhando. ☺️🍀🇧🇷 Enquanto os parasitas atacam o Presidente JB, o governo federal segue trabalhando. ☺️🍀🇧🇷 Enquanto os parasitas atacam o Presidente JB, o governo federal segue trabalhando. ☺️🍀🇧🇷 None",Fotos mostram obra realizada pelo governo do presidente Jair Bolsonaro
Mano Sei lá...  O jeito que o Paraguai conscientiza sobre o corona é diferente 😷😂😂 Mano Sei lá...  O jeito que o Paraguai conscientiza sobre o corona é diferente 😷😂😂 Mano Sei lá...  O jeito que o Paraguai conscientiza sobre o corona é diferente 😷😂😂 None,Este vídeo mostra uma campanha de conscientização contra o novo coronavírus no Paraguai
"DETRAN e POLÍCIA MILITAR
Estão orientados a multa Apartir de amanhã
(23/02/2021), quem estiver dirigindo sem
máscara e quem estiver dentro do carro. A multa
custa $ 128 Reais. Todos devem usar máscara
dentro do carro!
Multa vem como: Dirigir sem uso de itens de
segurança 3 pontos na carteira. Isso serve para
motos também.
Quem puder compartilhar para ajudar, tem
muitos que não sabem.",Motoristas que dirigirem sem máscara serão multados a partir de 23 de fevereiro de 2021
"SÓ PRA LEMBRAR:
""Não corro o risco de
ter uma nora negra
porque meus filhos
foram bem educados""
(Bolsonaro, Jair)","SÓ PRA LEMBRAR: ‘Não corro o risco de ter uma nora negra porque meus filhos foram bem educados’ (Bolsonaro, Jair)"
"Alemanha proíbe a
Igreja Universal de se
instalar no país, devido
a sua forma de
arrecadar dinheiro!
Isto é ser um país
sério!!","Alemanha proíbe a Igreja Universal de se instalar no país, devido a sua forma de arrecadar dinheiro"
"Olhem aí a mineradora da Noruega destruindo
o meio ambiente na Amazônia. Lula vendeu o
solo para a Noruega em documento secreto.
Ela arrecada 2 bilhoes ao ano e devolve 180
milhoes para consertar o estrago que ela
mesmo faz na Amazônia.",O ex-presidente Lula vendeu o solo da Amazônia para uma empresa norueguesa
