post,normalized claim
கோயிலுக்குள் நுழைந்து சிலையைத் தொட்டதற்காக கர்நாடகாவில் ஒரு தலித் குடும்பம் நிர்வாணமாக சித்திரவதை செய்யப்பட்டு அபராதம் விதிக்கப்பட்டதை அறிந்து வெட்கப்படுகிறேன். நாம் மனிதர்களா? என்று சொல்லி வெறுமனே சபித்தார்!,"கர்நாடகாவில் தலித் குடும்பம் நிர்வாணமாக கடுமையாக சித்திரவதை செய்யப்பட்டு, கோயிலுக்குள் நுழைந்து சிலையைத் தொட்டதற்காக அபராதம் விதிக்கப்பட்டது."
பள்ளிப் புத்தகங்களுக்கு வரி விதிக்கும் முதல் நாடு இந்தியா …,பள்ளிப் பாடப்புத்தகங்களுக்கு வரி விதிக்கும் முதல் நாடு இந்தியா
"முதல் கட்டமாக கொரோனா தடுப்பூசி எடுத்துக்கொண்ட நோயாளிகள் மற்ற நோயாளிகளை சாப்பிட தொடங்கியதால், மருத்துவமனைகள் பூட்டப்பட்டுள்ளன,” என்று கூறுகிறது. இந்த இடுகையில் உள்ள தலைப்பு, “2021 மிகவும் கடுமையானதாகத் தெரிகிறது","முதல் கட்டமாக கொரோனா தடுப்பூசி எடுத்துக்கொண்ட நோயாளிகள் மற்ற நோயாளிகளை சாப்பிட தொடங்கியதால், மருத்துவமனைகள் பூட்டப்பட்டுள்ளன"
"இந்த சிறுமி மங்களூரில் (தென்னிந்தியா) உள்ள ஒரு பிச்சைக்காரர் குழுவைச் சேர்ந்தது. இந்தச் செய்தியை பகிருங்கள். இந்தச் சிறுமியால் தன் பெயரைக் கூற முடிகிறது, தன் பெயரை சோனல் பிபின் படேல் என்று கூறுகிறாள். இந்த புகைப்படத்துடன் ஒரு போஸ்ட்டை ஒவ்வொரு குழுவிலும் பகிருங்கள். எங்கள் முயற்சியில், இந்தச் சிறுமி தன் உண்மையான பெற்றோரை அடைய முடியும்.","இந்த சிறுமி மங்களூரில் (தென்னிந்தியா) உள்ள ஒரு பிச்சைக்காரர் குழுவைச் சேர்ந்தது. இந்தச் செய்தியை பகிருங்கள். இந்தச் சிறுமியால் தன் பெயரைக் கூற முடிகிறது, தன் பெயரை சோனல் பிபின் படேல் என்று கூறுகிறாள். இந்த புகைப்படத்துடன் ஒரு போஸ்ட்டை ஒவ்வொரு குழுவிலும் பகிருங்கள். இதில் அவருடன் உள்ள பிச்சைக்கார்கள் மும்பை டிரெயினில் காணப்பட்டார்கள். நம் முயற்சியால் இவர் தன் உண்மையான பெற்றோரை அடையக் கூடும்."
ஹத்ராஸில் பாலியல் வன்கொடுமைக்கு ஆளானவரின் உடலினை உ.பி. காவல்துறையினர் எரிப்பதினை முதல்வர் நேரலையில் கண்டார்,ஹத்ராஸில் பாலியல் வன்கொடுமைக்கு ஆளானவரின் உடலினை உ.பி. காவல்துறையினர் எரிப்பதினை முதல்வர் நேரலையில் கண்டார்
"அன்னீஸ் கன்மணி ஜாய் திருவனந்தபுரம் மருத்துவக் கல்லூரியில் செவிலியராக இருந்தார். அவர் IAS முடித்து கொடகுவில் மாவட்ட ஆணையராக நியமிக்கப்பட்டார். அவரது நர்சிங் அனுபவத்தைக் கொண்டு, கொடகு மாவட்டத்தைவிட்டு கொரோனாவை முற்றிலுமாக வெளியேற்ற அவரால் உதவ முடியும். அவர் கொடகு மக்களிடமிருந்து சிறப்பு பாராட்டுகளை பெறுகிறார்","அன்னீஸ் கன்மணி ஜாய் திருவனந்தபுரம் மருத்துவக் கல்லூரியில் செவிலியராக இருந்தார். அவர் IAS முடித்து கொடகுவில் மாவட்ட ஆணையராக நியமிக்கப்பட்டார். அவரது நர்சிங் அனுபவத்தைக் கொண்டு, கொடகு மாவட்டத்தைவிட்டு கொரோனாவை முற்றிலுமாக வெளியேற்ற அவரால் உதவ முடியும். அவர் கொடகு மக்களிடமிருந்து சிறப்பு பாராட்டுகளை பெறுகிறார்"
"கொரோனா வைரஸ் காரணமாக பள்ளிகளும் கல்லூரிகளும் மூடப்பட்டுள்ளன, இதன் காரணமாக மாணவர்களின் கல்வி பாதிக்கப்பட்டுள்ளது. எனவே அனைத்து மாணவர்களுக்கும் இலவச ஆண்ட்ராய்டு ஸ்மார்ட்போன்களை வழங்கப்படுகிறது… உங்கள் இலவச ஸ்மார்ட்போனைப் பெற இந்த இணைப்பிலிருக்கும் படிவத்தை நிரப்பவும்: http://bit.ly/Register-Free-Smartphone-Link.",இந்த வைரல் கூற்று தவறானது. கொரோனா நோய்த்தொற்றின் காரணமாக அனைத்து மாணவர்களுக்கும் அரசு இலவச ஸ்மார்ட்போன்களை வழங்கவில்லை. அறியப்படாத இணைப்புகளைக் கிளிக் செய்ய வேண்டாம் என்று சைபர் நிபுணர்கள் எச்சரிக்கை விடுத்துள்ளனர்.
"ஒரு மாநிலத்துல 40 மாவட்டங்கள் மேல இருந்தா அந்த மாநிலத்த ரெண்டா பிரிச்சிருவாங்க. இப்ப சொல்லுங்க இது நல்லதா கெட்டதா,",ஒரு மாநிலத்துல 40 மாவட்டங்கள் மேல இருந்தா அந்த மாநிலத்த ரெண்டா பிரிச்சிருவாங்க
பொதுவாக Chikoo என்று அழைக்கப்படும் உள்ளூர் பழமான சப்போட்டாவில் கோவிட்-19 நோய்க்கான சிகிச்சை கண்டுபிடிக்கப்பட்டுள்ளது,"கோவிட்-19 நோய்க்கான சிகிச்சையானது உள்ளூர் பழமான சப்போட்டாவில் கண்டுபிடிக்கப்பட்டுள்ளது, இது பொதுவாக சிகூ என்று அழைக்கப்படுகிறது"
பிரம்மோஸ் சூப்பர்சானிக் க்ரூசிபிள் ஏவுகணை மயான்மார் ராணுவத்தால் (கோகோ தீவு) crd #Newwave ஏவப்பட்டது என்பதை நான் பெருமையுடன் கூறுகிறேன்.,மியான்மாரின் ஏவுகணை பரிசோதனை ஏவுதல்
